Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,checkoutservice CPU Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /,current_rps GET /cart,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,adservice CPU Usage,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,StressNG 1 CPU Usage,StressNG 2 CPU Usage
37.0,33.0,41.0,35.7,36.4,35.0,0.0081,0.0137,0.0344,0.00707,0.00744,4.47,0.0108,0.0072,0.0392,0.0397,0.239,0.0108,6.59,5,16,5,300,2.7,9.3,4.1,3.3,0.0303,3.7,4.3,4.0,4.0,3.8,3.6,4.0,9.3,3.5,6.6,66.2,0,0
37.1,37.6,36.6,31.4,26.8,36.0,0.0082,0.0137,0.0342,0.00713,0.00803,4.47,0.0108,0.00765,0.0383,0.0397,0.234,0.0108,6.65,5,19,5,300,2.2,9.5,4.1,3.1,0.0304,4.4,3.2,3.8,3.6,4.5,5.2,4.2,9.0,3.5,6.7,67.0,0,0
36.6,39.4,33.8,34.9,35.0,34.8,0.0082,0.0137,0.0342,0.00692,0.00792,4.65,0.0106,0.00742,0.0391,0.0394,0.239,0.0113,6.61,5,19,5,300,1.9,9.1,5.2,2.8,0.0296,4.7,3.4,4.1,4.6,4.7,4.6,3.2,8.2,3.0,6.1,65.6,0,0
38.0,36.2,39.8,33.1,33.4,32.8,0.00716,0.0148,0.0343,0.00692,0.00796,4.65,0.0106,0.00746,0.0393,0.0394,0.236,0.0101,6.66,5,17,5,300,2.4,7.6,4.9,3.6,0.0299,4.1,4.0,4.7,5.7,5.1,3.8,2.5,8.2,2.9,5.1,64.6,0,0
37.3,38.2,36.4,34.5,32.2,36.8,0.00712,0.0137,0.0343,0.00693,0.00768,4.75,0.00967,0.00741,0.0392,0.039,0.239,0.0106,6.68,5,18,5,300,3.3,7.0,4.0,4.3,0.0302,3.8,3.7,4.8,6.4,4.7,3.7,3.1,9.8,3.3,5.6,67.5,0,0
38.5,39.0,38.0,32.4,32.0,32.8,0.0077,0.0151,0.0339,0.00735,0.00756,4.83,0.00976,0.00741,0.0394,0.0391,0.237,0.0106,6.68,5,18,5,300,3.6,7.4,3.9,4.2,0.0298,3.6,3.8,4.5,5.2,4.8,4.5,3.4,10.2,2.9,6.0,68.0,0,0
38.2,39.4,37.0,35.0,38.8,31.2,0.00722,0.0141,0.0341,0.00735,0.00836,4.94,0.00976,0.00828,0.0397,0.0392,0.237,0.0109,6.76,5,19,5,300,2.5,9.1,3.8,4.3,0.0297,3.6,4.0,3.4,5.0,5.5,5.4,4.5,9.9,2.8,6.0,69.8,0,0
39.0,41.2,36.8,30.8,24.6,37.0,0.00775,0.0163,0.0338,0.00708,0.00833,5.02,0.0112,0.00786,0.0393,0.0392,0.236,0.0104,6.75,5,20,5,300,2.0,10.1,4.7,4.1,0.0307,4.0,3.5,2.7,4.9,4.2,5.0,5.1,8.6,2.8,5.9,67.6,0,0
39.1,37.2,41.0,35.5,31.6,39.4,0.00774,0.0163,0.0336,0.00671,0.008,5.07,0.00977,0.00841,0.0394,0.0387,0.24,0.0104,6.79,5,18,5,300,2.6,9.5,5.0,4.5,0.0308,3.8,4.5,2.6,3.7,3.5,5.2,4.3,8.9,2.8,6.8,67.7,0,0
36.4,35.2,37.6,34.0,29.6,38.4,0.00787,0.0165,0.034,0.00644,0.00856,5.28,0.0106,0.00798,0.0393,0.039,0.237,0.0104,6.81,5,18,5,300,2.3,9.3,5.2,3.9,0.0296,3.9,4.8,3.2,3.8,2.9,4.4,4.2,8.5,3.0,7.4,66.8,0,0
