Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,Avg Host Node3 CPU Usage,Host Node3 CPU 0 Usage,Host Node3 CPU 1 Usage,checkoutservice CPU Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /,current_rps GET /cart,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,adservice CPU Usage,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,StressNG 1 CPU Usage,StressNG 2 CPU Usage,StressNG 3 CPU Usage
25.2,22.4,28.0,29.7,26.0,33.4,22.6,21.6,23.6,0.00732,0.0106,0.0337,0.00782,0.00846,0.632,0.00941,0.00774,0.0401,0.0368,0.23,0.00991,6.99,5,22,6,50,0.2,1.7,0.7,0.8,0.0478,0.8,0.9,1.0,0.7,0.7,0.8,0.6,1.1,0.2,1.0,11.2,0,0,0
24.2,27.0,21.4,25.5,23.2,27.8,24.5,24.2,24.8,0.00777,0.0117,0.0339,0.0078,0.00723,0.655,0.0102,0.00774,0.0401,0.0369,0.23,0.0103,7.03,5,22,6,50,0.2,1.3,0.7,0.7,0.0478,1.1,0.6,1.1,0.6,0.6,1.1,0.5,2.0,0.4,0.7,11.6,0,0,0
24.5,23.6,25.4,27.3,25.0,29.6,22.9,25.0,20.8,0.00779,0.0106,0.0339,0.0075,0.00753,0.683,0.0103,0.00774,0.0401,0.0371,0.227,0.0104,7.19,5,22,6,50,0.2,1.2,0.8,0.7,0.0476,1.0,0.5,0.7,0.6,0.4,1.2,0.4,1.9,0.3,0.9,10.8,0,0,0
26.1,28.4,23.8,27.6,27.6,27.6,25.2,20.4,30.0,0.008,0.0144,0.0339,0.00711,0.00786,0.697,0.0103,0.00776,0.04,0.0368,0.227,0.0111,7.23,5,22,6,50,0.3,1.8,0.5,0.5,0.0476,0.6,0.4,0.6,0.7,0.6,1.2,0.3,1.6,0.1,0.9,10.1,0,0,0
23.4,25.4,21.4,27.6,28.0,27.2,22.4,21.0,23.8,0.00737,0.0147,0.0336,0.0075,0.0077,0.721,0.0102,0.00707,0.0399,0.0368,0.228,0.0117,7.24,5,18,6,50,0.7,1.3,0.9,0.4,0.0464,0.7,0.6,0.4,0.6,1.1,0.7,0.7,1.7,0.2,1.4,11.4,0,0,0
24.4,23.0,25.8,27.8,26.8,28.8,24.7,22.0,27.4,0.00819,0.0147,0.0337,0.00704,0.00696,0.741,0.0102,0.00759,0.0399,0.037,0.228,0.0113,7.37,6,21,6,50,0.5,1.0,0.9,0.5,0.0464,0.8,0.7,0.5,0.8,0.8,0.5,0.8,1.5,0.3,1.1,10.7,0,0,0
26.1,21.8,30.5,25.6,21.0,30.2,21.8,20.8,22.8,0.00798,0.0142,0.0336,0.00685,0.00723,0.729,0.0102,0.00681,0.041,0.0369,0.227,0.0116,7.34,6,21,6,50,0.2,1.2,0.5,0.6,0.0445,0.8,0.5,0.7,0.8,0.3,0.6,0.8,1.3,0.2,0.5,9.0,0,0,0
24.2,21.6,26.9,27.8,30.0,25.6,25.7,26.7,24.7,0.00731,0.0142,0.0339,0.00678,0.00803,0.766,0.00942,0.00681,0.04,0.0372,0.229,0.0116,7.41,6,18,6,50,0.2,1.5,0.4,0.7,0.0458,0.8,0.5,1.0,0.3,0.5,0.6,0.6,1.1,0.1,0.4,8.7,0,0,0
24.2,26.4,22.0,28.6,31.8,25.4,22.4,23.4,21.4,0.00727,0.0132,0.0337,0.00678,0.00787,0.791,0.00942,0.00631,0.0398,0.0371,0.227,0.0113,7.54,6,21,6,50,0.4,2.0,0.7,0.7,0.0455,0.3,0.9,1.2,0.4,0.7,0.4,0.4,0.9,0.3,0.3,9.6,0,0,0
23.8,23.2,24.4,27.9,27.6,28.2,23.2,25.1,21.3,0.00771,0.0143,0.0338,0.00675,0.00813,0.805,0.0102,0.00682,0.04,0.037,0.229,0.0107,7.5,6,19,6,50,0.5,2.2,0.7,0.5,0.0459,0.5,0.8,0.6,0.5,1.1,0.7,0.6,0.8,0.3,0.7,10.5,0,0,0
